gp-common-timestamp,before,dirty_reboot_time
2024-03-23T10:19:37Z,"2024-03-19T07:17:48+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:25 UTC 2024][6][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"023-11-18T08:36:37+00:00]: The resource property GPU_SXM_7 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"2024-03-19T07:17:50+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:16 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"2024-03-19T07:17:52+00:00]: The resource property GPU_SXM_7 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:08 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"2024-03-19T07:17:53+00:00]: The resource property GPU_SXM_8 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:02 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"023-11-18T08:36:52+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"023-12-30T15:33:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][1][00] XID 13 Graphics Exception: SKEDCHECK11_TOTAL_THREADS failed'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"023-12-30T15:33:02+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][2][02] XID 13 Graphics Exception: ESR 0x407020'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"023-12-30T15:33:04+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][3][00] XID 13 Graphics Exception: ChID 0008; Class 0000cbc0; Offset 000000'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"024-01-26T11:42:57+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"024-02-08T02:23:53+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][1][02] XID 74 NVLink: fatal error detected on link 2(0x10010000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:19:37Z,"024-02-08T02:23:55+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][2][02] XID 74 NVLink: fatal error detected on link 3(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"023-11-06T19:37:13+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-02-08T02:23:57+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][3][02] XID 74 NVLink: fatal error detected on link 10(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-02-08T02:23:58+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:01 UTC 2024][4][02] XID 74 NVLink: fatal error detected on link 14(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-02-08T02:24:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:03 UTC 2024][5][02] XID 74 NVLink: fatal error detected on link 15(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-02-08T02:31:56+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-02-27T15:57:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-13T19:40:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-19T07:17:43+00:00]: The resource property GPU_SXM_2 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:12 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-19T07:17:45+00:00]: The resource property GPU_SXM_3 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:29 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-19T07:17:46+00:00]: The resource property GPU_SXM_4 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:05 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-19T07:17:48+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:25 UTC 2024][6][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"023-11-18T08:36:37+00:00]: The resource property GPU_SXM_7 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-19T07:17:50+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:16 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-19T07:17:52+00:00]: The resource property GPU_SXM_7 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:08 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"2024-03-19T07:17:53+00:00]: The resource property GPU_SXM_8 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:02 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"023-11-18T08:36:52+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"023-12-30T15:33:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][1][00] XID 13 Graphics Exception: SKEDCHECK11_TOTAL_THREADS failed'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"023-12-30T15:33:02+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][2][02] XID 13 Graphics Exception: ESR 0x407020'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"023-12-30T15:33:04+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][3][00] XID 13 Graphics Exception: ChID 0008; Class 0000cbc0; Offset 000000'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"024-01-26T11:42:57+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"024-02-08T02:23:53+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][1][02] XID 74 NVLink: fatal error detected on link 2(0x10010000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:24:35Z,"024-02-08T02:23:55+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][2][02] XID 74 NVLink: fatal error detected on link 3(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"023-11-06T19:37:13+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-02-08T02:23:57+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][3][02] XID 74 NVLink: fatal error detected on link 10(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-02-08T02:23:58+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:01 UTC 2024][4][02] XID 74 NVLink: fatal error detected on link 14(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-02-08T02:24:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:03 UTC 2024][5][02] XID 74 NVLink: fatal error detected on link 15(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-02-08T02:31:56+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-02-27T15:57:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-13T19:40:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-19T07:17:43+00:00]: The resource property GPU_SXM_2 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:12 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-19T07:17:45+00:00]: The resource property GPU_SXM_3 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:29 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-19T07:17:46+00:00]: The resource property GPU_SXM_4 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:05 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-19T07:17:48+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:25 UTC 2024][6][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"023-11-18T08:36:37+00:00]: The resource property GPU_SXM_7 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-19T07:17:50+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:16 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-19T07:17:52+00:00]: The resource property GPU_SXM_7 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:08 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"2024-03-19T07:17:53+00:00]: The resource property GPU_SXM_8 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:02 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"023-11-18T08:36:52+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"023-12-30T15:33:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][1][00] XID 13 Graphics Exception: SKEDCHECK11_TOTAL_THREADS failed'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"023-12-30T15:33:02+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][2][02] XID 13 Graphics Exception: ESR 0x407020'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"023-12-30T15:33:04+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][3][00] XID 13 Graphics Exception: ChID 0008; Class 0000cbc0; Offset 000000'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"024-01-26T11:42:57+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"024-02-08T02:23:53+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][1][02] XID 74 NVLink: fatal error detected on link 2(0x10010000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:29:35Z,"024-02-08T02:23:55+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][2][02] XID 74 NVLink: fatal error detected on link 3(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"023-11-06T19:37:13+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-02-08T02:23:57+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][3][02] XID 74 NVLink: fatal error detected on link 10(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-02-08T02:23:58+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:01 UTC 2024][4][02] XID 74 NVLink: fatal error detected on link 14(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-02-08T02:24:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:03 UTC 2024][5][02] XID 74 NVLink: fatal error detected on link 15(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-02-08T02:31:56+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-02-27T15:57:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-13T19:40:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-19T07:17:43+00:00]: The resource property GPU_SXM_2 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:12 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-19T07:17:45+00:00]: The resource property GPU_SXM_3 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:29 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-19T07:17:46+00:00]: The resource property GPU_SXM_4 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:05 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-19T07:17:48+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:25 UTC 2024][6][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"023-11-18T08:36:37+00:00]: The resource property GPU_SXM_7 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-19T07:17:50+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:16 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-19T07:17:52+00:00]: The resource property GPU_SXM_7 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:08 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"2024-03-19T07:17:53+00:00]: The resource property GPU_SXM_8 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:02 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"023-11-18T08:36:52+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"023-12-30T15:33:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][1][00] XID 13 Graphics Exception: SKEDCHECK11_TOTAL_THREADS failed'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"023-12-30T15:33:02+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][2][02] XID 13 Graphics Exception: ESR 0x407020'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"023-12-30T15:33:04+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Sat Dec 30 15:32:25 UTC 2023][3][00] XID 13 Graphics Exception: ChID 0008; Class 0000cbc0; Offset 000000'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"024-01-26T11:42:57+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"024-02-08T02:23:53+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][1][02] XID 74 NVLink: fatal error detected on link 2(0x10010000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:34:37Z,"024-02-08T02:23:55+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][2][02] XID 74 NVLink: fatal error detected on link 3(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"023-11-06T19:37:13+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-02-08T02:23:57+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:00 UTC 2024][3][02] XID 74 NVLink: fatal error detected on link 10(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-02-08T02:23:58+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:01 UTC 2024][4][02] XID 74 NVLink: fatal error detected on link 14(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-02-08T02:24:00+00:00]: The resource property GPU_SXM_5 Driver Event Message has detected errors of type '[Thu Feb 8 02:22:03 UTC 2024][5][02] XID 74 NVLink: fatal error detected on link 15(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-02-08T02:31:56+00:00]: The resource property GPU_SXM_1 ThrottleReason has detected errors of type 'xyz.openbmc_project.State.ProcessorPerformance.ThrottleReasons.SWPowerCap'.; Resolution: No recovery required., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-02-27T15:57:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: true ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-03-13T19:40:27+00:00]: The resource property HMC_0 Firmware has detected errors of type 'WriteProtected'.; Resolution: If WP enabled, ERoT/AP shall not be able to update SPI. This is a HW protection., Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-03-19T07:17:43+00:00]: The resource property GPU_SXM_2 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:12 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
2024-03-23T10:39:36Z,"2024-03-19T07:17:45+00:00]: The resource property GPU_SXM_3 Driver Event Message has detected errors of type '[Tue Mar 19 07:17:29 UTC 2024][1][00] XID 43 Ch 00000008'.; Resolution: , Resolved: (Unknown) ",2024-03-23 11:15:02
